名稱zh,名稱en,國籍zh,國籍en,能力,潛力,偏好位置總數,偏好位置1,偏好位置2,偏好位置3,年齡,Hits,球隊zh,球隊en,租借球隊zh,租借球隊en
Catena,Catena,西班牙,Spain,69,75,1,CB,,,25,0,華歷簡奴,Rayo Vallecano,,
Ousmane Kanté,Ousmane Kanté,幾內亞,Guinea,69,69,1,CB,,,30,0,FC巴黎,Paris FC,,
Fran Gámez,Fran Gámez,西班牙,Spain,69,69,2,RB,LB,,28,0,馬略卡,RCD Mallorca,,
Mujaid,Mujaid,西班牙,Spain,69,83,2,RB,CB,,20,0,拉科魯尼亞,RC Deportivo,,
Borna Sosa,Borna Sosa,克羅地亞,Croatia,69,78,1,LB,,,22,1,史特加,VfB Stuttgart,,
Noam Baumann,Noam Baumann,瑞士,Switzerland,69,77,1,GK,,,24,0,盧加諾,FC Lugano,,
Giorgi Kharaishvili,Giorgi Kharaishvili,格魯吉亞,Georgia,69,75,3,CAM,CF,LW,23,0,哥登堡,IFK Göteborg,,
José Ortíz,José Ortíz,哥倫比亞,Colombia,69,80,1,CB,,,21,0,莫雷利亞,Monarcas Morelia,,
Elvir Koljić,Elvir Koljić,波斯尼亞和黑塞哥維那,Bosnia & Herzegovina,69,74,1,ST,,,24,0,CS 卡拉奧華大學,U Craiova 1948 Club Sportiv,,
Felipe Jaramillo,Felipe Jaramillo,哥倫比亞,Colombia,69,78,2,CDM,CB,,24,0,阿美利加,América de Cali,,
Edwuin Cetre,Edwuin Cetre,哥倫比亞,Colombia,69,79,2,LM,RM,,22,0,青年體育會,Junior FC,,
Gaëtan Robail,Gaëtan Robail,法國,France,69,70,2,LM,LW,,26,0,朗斯,Racing Club de Lens,,
Guillermo Soto,Guillermo Soto,智利,Chile,69,72,2,RB,CB,,26,0,柏利斯天奴,CD Palestino,,
Francisco Ortega,Francisco Ortega,阿根廷,Argentina,69,82,2,LB,LWB,,21,2,沙士菲,Vélez Sarsfield,,
Lewis Ferguson,Lewis Ferguson,蘇格蘭,Scotland,69,84,3,CDM,CM,CAM,20,5,鴨巴甸,Aberdeen,,
Nikolas Špalek,Nikolas Špalek,斯洛伐克,Slovakia,69,76,2,CAM,RW,,23,0,布雷西亞,Brescia,,
Felipe Curcio,Felipe Curcio,巴西,Brazil,69,72,1,LB,,,26,0,薩雷諾,Salerno,,
Federico Varela,Federico Varela,阿根廷,Argentina,69,77,2,CM,CAM,,24,1,拉斯彭馬斯,UD Las Palmas,雷加利斯,On loan from: CD Leganés
Daniel Mantilla,Daniel Mantilla,哥倫比亞,Colombia,69,77,2,LM,CM,,23,0,帕特里奧坦斯,Patriotas Boyacá FC,,
Josh Sargent,Josh Sargent,美國,United States,69,83,2,ST,RW,,20,5,雲達不萊梅,SV Werder Bremen,,
Cory Burke,Cory Burke,牙買加,Jamaica,69,69,1,ST,,,28,0,聖普爾頓,spusu SKN St. Pölten,費城聯,On loan from: Philadelphia Union
Nanu,Nanu,幾內亞比索,Guinea Bissau,69,73,3,RB,RM,LM,26,1,馬里迪莫,Marítimo,,
Francis Amuzu,Francis Amuzu,比利時,Belgium,69,79,1,LW,,,20,3,安德列治,RSC Anderlecht,,
Abdou Harroui,Abdou Harroui,荷蘭,Netherlands,69,78,2,RM,CM,,22,0,鹿特丹斯巴達,Sparta Rotterdam,,
Aldo Cruz,Aldo Cruz,墨西哥,Mexico,69,79,2,LB,LWB,,22,1,迪祖亞拿,Club Tijuana,,
Modibo Sagnan,Modibo Sagnan,法國,France,69,80,1,CB,,,21,3,米蘭迪斯,CD Mirandés,皇家蘇斯達,On loan from: Real Sociedad
Pape Gueye,Pape Gueye,法國,France,69,83,2,CDM,CM,,21,4,勒哈弗爾,Havre Athletic Club,,
Jonas Wind,Jonas Wind,丹麥,Denmark,69,78,1,ST,,,21,1,哥本哈根,FC København,,
Carlos Garcés,Carlos Garcés,厄瓜多爾,Ecuador,69,69,1,ST,,,30,0,SC 迪爾芬,Delfín Sporting Club,,
Romario Ibarra,Romario Ibarra,厄瓜多爾,Ecuador,69,72,2,LM,ST,,25,0,帕丘卡,Pachuca,明尼蘇達聯,On loan from: Minnesota United FC
Timothy Weah,Timothy Weah,美國,United States,69,84,2,ST,LM,,20,4,里爾,LOSC Lille,,
Jesus Ferreira,Jesus Ferreira,美國,United States,69,82,3,ST,CM,CAM,19,7,FC達拉斯,FC Dallas,,
Roberto Ordoñez,Roberto Ordoñez,厄瓜多爾,Ecuador,69,69,1,ST,,,35,0,艾美歷克,CS Emelec,,
Olimpiu Moruțan,Olimpiu Moruțan,羅馬尼亞,Romania,69,82,3,CAM,RW,CM,21,0,布加勒斯特星隊,Fotbal Club FCSB,,
Reeve Frosler,Reeve Frosler,南非,South Africa,69,76,2,RB,LB,,22,1,卡薩酋長,Kaizer Chiefs,,
Yannis Clementia,Yannis Clementia,法國,France,69,74,1,GK,,,22,0,尼斯,OGC Nice,,
Tomás Chancalay,Tomás Chancalay,阿根廷,Argentina,69,79,3,RM,LM,ST,21,0,高隆,Colón de Santa Fe,,
Leonardo Heredia,Leonardo Heredia,阿根廷,Argentina,69,75,3,RM,CAM,CM,24,0,圖庫曼體育會,Atlético Tucumán,,
Felipe Carballo,Felipe Carballo,烏拉圭,Uruguay,69,78,2,CM,CDM,,23,0,蒙特维多國民隊,Club Nacional de Football,,
Michael Estrada,Michael Estrada,厄瓜多爾,Ecuador,69,76,1,ST,,,24,0,托盧卡,Deportivo Toluca,,
Jérémy Grimm,Jérémy Grimm,法國,France,69,69,2,CDM,CM,,33,0,史特拉斯堡,RC Strasbourg Alsace,,
Dejan Ljubicic,Dejan Ljubicic,奧地利,Austria,69,77,3,CDM,CM,CB,22,1,維也納迅速,SK Rapid Wien,,
Emmanuel Apeh,Emmanuel Apeh,尼日利亞,Nigeria,69,78,1,ST,,,23,0,切爾達,RC Celta,,
Mert Hakan Yandaş,Mert Hakan Yandaş,土耳其,Turkey,69,74,2,CAM,CM,,25,0,施華斯堡,Sivasspor,,
Rodrigão,Rodrigão,巴西,Brazil,69,76,1,CB,,,24,0,基維辛迪,Gil Vicente FC,,
Amine Gouiri,Amine Gouiri,法國,France,69,84,1,ST,,,20,6,里昂,Olympique Lyonnais,,
Jonathan Sandoval,Jonathan Sandoval,烏拉圭,Uruguay,69,69,1,RB,,,33,0,小阿根廷人,Argentinos Juniors,,
Emanuel Vignato,Emanuel Vignato,意大利,Italy,69,81,1,CAM,,,19,0,基爾禾,Chievo Verona,博洛尼亞,On loan from: Bologna
Sofian Kiyine,Sofian Kiyine,摩洛哥,Morocco,69,80,3,CM,LM,RM,22,0,薩雷諾,Salerno,拉素,On loan from: Lazio
Andrea Settembrini,Andrea Settembrini,意大利,Italy,69,69,1,CM,,,28,0,基亞瓦里,Chiavari,,
Luca Fiordilino,Luca Fiordilino,意大利,Italy,69,78,2,CM,RM,,23,0,威尼斯亞,Venezia,,
Aleš Matějů,Aleš Matějů,捷克,Czech Republic,69,73,2,RB,LB,,24,0,布雷西亞,Brescia,,
Tiago Lopes,Tiago Lopes,葡萄牙,Portugal,69,69,1,RB,,,31,0,德尼茲利,Denizlispor,,
Bastien Toma,Bastien Toma,瑞士,Switzerland,69,83,2,CM,CDM,,21,0,錫永,FC Sion,,
Nacho Méndez,Nacho Méndez,西班牙,Spain,69,80,2,CM,CDM,,22,0,希杭,R. Sporting,,
Tommaso Augello,Tommaso Augello,意大利,Italy,69,73,1,LB,,,25,0,森多利亞,Sampdoria,史柏斯亞,On loan from: La Spezia
Ivan Ljubić,Ivan Ljubić,奧地利,Austria,69,75,3,CDM,CM,CB,23,0,格拉茨,SK Sturm Graz,,
Ovidiu Popescu,Ovidiu Popescu,羅馬尼亞,Romania,69,73,3,CDM,CM,RB,26,0,布加勒斯特星隊,Fotbal Club FCSB,,
Oleksiy Dytyatev,Oleksiy Dytyatev,烏克蘭,Ukraine,69,69,1,CB,,,31,0,克拉科維亞,Cracovia,,
Eduardo Tercero,Eduardo Tercero,墨西哥,Mexico,69,75,1,CB,,,24,0,堤格雷斯,Tigres U.A.N.L.,,
Caleb Ekuban,Caleb Ekuban,迦納,Ghana,69,72,3,ST,RM,CAM,26,0,特拉布宗,Trabzonspor,,
Adam Zreľák,Adam Zreľák,斯洛伐克,Slovakia,69,72,1,ST,,,26,0,紐倫堡,1. FC Nürnberg,,
Ramiro González,Ramiro González,阿根廷,Argentina,69,69,1,CB,,,29,1,利昂,Club León,,
Gerzino Nyamsi,Gerzino Nyamsi,法國,France,69,77,1,CB,,,23,0,雷恩,Stade Rennais FC,,
Jordi Mboula,Jordi Mboula,西班牙,Spain,69,79,2,RW,RM,,21,2,侯爾斯卡,SD Huesca,摩納哥,On loan from: AS Monaco Football Club SA
Kouadio-Yves Dabila,Kouadio-Yves Dabila,象牙海岸,Ivory Coast,69,75,2,CB,RB,,23,0,色格拉布魯日,KSV Cercle Brugge,里爾,On loan from: LOSC Lille
Aylton Boa Morte,Aylton Boa Morte,葡萄牙,Portugal,69,70,1,LW,,,26,0,樸迪莫倫斯,Portimonense SC,,
Nicolas Cozza,Nicolas Cozza,法國,France,69,82,2,CB,LWB,,21,5,蒙彼利埃,Montpellier Hérault SC,,
Cristian Ganea,Cristian Ganea,羅馬尼亞,Romania,69,70,2,LB,CM,,28,0,維托奴,Fotbal Club Viitorul Constanța,畢爾包,On loan from: Athletic Club
Atakan Karazor,Atakan Karazor,德國,Germany,69,75,3,CDM,CB,CM,23,0,史特加,VfB Stuttgart,,
Sadık Çiftpınar,Sadık Çiftpınar,土耳其,Turkey,69,71,1,CB,,,27,1,費倫巴治,Fenerbahçe SK,,
Okechukwu Azubuike,Okechukwu Azubuike,尼日利亞,Nigeria,69,78,2,CDM,CM,,23,0,伊斯坦堡,Medipol Başakşehir FK,,
Rajko Rep,Rajko Rep,斯洛文尼亞,Slovenia,69,69,2,CM,CAM,,30,0,哈特堡,TSV Hartberg,,
Žan Majer,Žan Majer,斯洛文尼亞,Slovenia,69,70,1,CM,,,27,0,萊切,Lecce,,
Ermedin Demirović,Ermedin Demirović,波斯尼亞和黑塞哥維那,Bosnia & Herzegovina,69,80,1,ST,,,22,0,聖加倫 1879,FC St. Gallen 1879,艾拉維斯,On loan from: D. Alavés
Bastos,Bastos,西班牙,Spain,69,69,3,LB,RB,LM,28,0,埃克達馬度拉,Extremadura UD,,
Lucas Possignolo,Lucas Possignolo,巴西,Brazil,69,72,1,CB,,,26,0,樸迪莫倫斯,Portimonense SC,,
Philip Türpitz,Philip Türpitz,德國,Germany,69,69,3,CAM,RW,RM,28,0,辛特侯遜,SV Sandhausen,,
Klaus Gjasula,Klaus Gjasula,阿爾巴尼亞,Albania,69,69,1,CDM,,,30,0,柏達邦,SC Paderborn 07,,
Sebastian Mai,Sebastian Mai,德國,Germany,69,72,3,CB,ST,CAM,26,0,賀利舒查,Hallescher FC,,
Amine Bassi,Amine Bassi,摩洛哥,Morocco,69,78,3,CAM,CM,RM,22,2,南錫,AS Nancy Lorraine,,
Ilias Chair,Ilias Chair,摩洛哥,Morocco,69,78,3,CAM,CM,LM,22,1,昆士柏流浪,Queens Park Rangers,,
Olabe,Olabe,西班牙,Spain,69,75,3,RM,CM,CDM,24,1,埃克達馬度拉,Extremadura UD,伊巴,On loan from: SD Eibar
Riku Matsuda,Riku Matsuda,日本,Japan,69,69,2,RB,RM,,28,0,大阪櫻花,Cerezo Osaka,,
Paxton Pomykal,Paxton Pomykal,美國,United States,69,83,3,CAM,CM,RM,20,3,FC達拉斯,FC Dallas,,
Uriel Antuna,Uriel Antuna,墨西哥,Mexico,69,77,3,LM,RM,RW,22,5,瓜達拉哈拉,Guadalajara,,
Nahuel Barrios,Nahuel Barrios,阿根廷,Argentina,69,78,3,LM,LW,CF,22,0,防衛者,Defensa y Justicia,聖羅倫素,On loan from: San Lorenzo de Almagro
Hiroki Abe,Hiroki Abe,日本,Japan,69,82,2,LW,RW,,21,13,巴塞隆拿,FC Barcelona,,
Kei Chinen,Kei Chinen,日本,Japan,69,73,2,ST,CF,,25,0,大分三神,Oita Trinita,川崎前鋒,On loan from: Kawasaki Frontale
Ajdin Hrustić,Ajdin Hrustić,澳洲,Australia,69,75,3,RM,CM,LM,23,0,格羅寧根,FC Groningen,,
Samuel Tetteh,Samuel Tetteh,迦納,Ghana,69,74,3,LW,ST,RW,23,0,寧斯,LASK Linz,薩爾斯堡,On loan from: FC Red Bull Salzburg
Lucas,Lucas,巴西,Brazil,69,72,1,CB,,,27,0,琉森,FC Luzern,,
Lalas Abubakar,Lalas Abubakar,迦納,Ghana,69,74,1,CB,,,25,0,科羅拉多急流,Colorado Rapids,,
Juan Camilo Chaverra,Juan Camilo Chaverra,哥倫比亞,Colombia,69,72,1,GK,,,27,0,古古達,Cúcuta Deportivo,,
Óscar Cabezas,Óscar Cabezas,哥倫比亞,Colombia,69,77,1,CB,,,23,2,帕特里奧坦斯,Patriotas Boyacá FC,,
Lazaros Lamprou,Lazaros Lamprou,希臘,Greece,69,76,2,LM,LW,,22,0,PAOK沙朗歷基,PAOK,,
Nick Lima,Nick Lima,美國,United States,69,72,2,LB,RB,,25,0,聖荷西地震,San Jose Earthquakes,,
Orji Okwonkwo,Orji Okwonkwo,尼日利亞,Nigeria,69,77,3,RW,RM,ST,22,1,蒙特利爾衝擊,Impact Montréal,博洛尼亞,On loan from: Bologna
Luis González,Luis González,委內瑞拉,Venezuela,69,69,2,RW,CAM,,29,0,青年體育會,Junior FC,,
Japhet Tanganga,Japhet Tanganga,英格蘭,England,69,84,3,CB,RB,LB,21,2,熱刺,Tottenham Hotspur,,
Maarten Paes,Maarten Paes,荷蘭,Netherlands,69,80,1,GK,,,22,0,烏德勒支,FC Utrecht,,
Guilherme Schettine,Guilherme Schettine,巴西,Brazil,69,76,1,ST,,,24,0,辛達卡拉,Santa Clara,,
Steven Alzate,Steven Alzate,哥倫比亞,Colombia,69,80,2,CM,RB,,21,3,白禮頓,Brighton & Hove Albion,,
Enrico Brignola,Enrico Brignola,意大利,Italy,69,83,3,CAM,RW,CF,20,1,利佛諾,Livorno,,
Achilléas Poúngouras,Achilléas Poúngouras,希臘,Greece,69,75,1,CB,,,24,0,彭拿典奈高斯,Panathinaikos FC,,
Ifeanyi Mathew,Ifeanyi Mathew,尼日利亞,Nigeria,69,78,1,CM,,,23,0,利尼史特朗,Lillestrøm SK,,
Anderson Santamaría,Anderson Santamaría,秘魯,Peru,69,71,1,CB,,,28,1,阿特拿斯,Club Atlas,,
Renato Rochela,Renato Rochela,巴西,Brazil,69,69,2,CAM,LM,,28,0,明尼路,Atlético Mineiro,,
Ever Sineiro,Ever Sineiro,巴西,Brazil,69,69,2,CAM,ST,,20,2,高士路,Cruzeiro,,
Paulo Daineiro,Paulo Daineiro,巴西,Brazil,69,69,1,CAM,,,24,0,施亞拉體育會,Ceará Sporting Club,,
Sebastian Szymański,Sebastian Szymański,波蘭,Poland,69,85,3,RM,CAM,LM,21,2,自由身球員,Free Agents,,
Francesco Cassata,Francesco Cassata,意大利,Italy,69,80,1,CM,,,22,0,熱拿亞,Genoa,薩斯索羅,On loan from: Sassuolo
Luca Strizzolo,Luca Strizzolo,意大利,Italy,69,69,1,ST,,,28,0,波代諾內,Pordenone,克雷莫拿,On loan from: Cremona
Marco Varnier,Marco Varnier,意大利,Italy,69,81,1,CB,,,22,0,比薩,Pisa,阿特蘭大,On loan from: Atalanta
Abdoulaye Sissako,Abdoulaye Sissako,法國,France,69,78,2,CDM,CM,,22,0,華雷根,SV Zulte Waregem,,
Nicolás Milesi,Nicolás Milesi,烏拉圭,Uruguay,69,71,2,CDM,CM,,27,1,利伯泰迪,Club Libertad,,
Joel Soñora,Joel Soñora,美國,United States,69,75,2,CAM,CM,,23,0,沙蘭迪兵工廠,Arsenal de Sarandí,泰拿尼斯,On loan from: Club Atlético Talleres
Ryan Yates,Ryan Yates,英格蘭,England,69,79,2,CDM,CM,,22,1,諾定咸森林,Nottingham Forest,,
Isaac Sackey,Isaac Sackey,迦納,Ghana,69,74,2,CDM,CB,,26,0,德尼茲利,Denizlispor,阿蘭亞士邦,On loan from: Alanyaspor
Benito,Benito,西班牙,Spain,69,74,3,RM,LM,LB,24,0,拉斯彭馬斯,UD Las Palmas,,
Cédric Kipré,Cédric Kipré,象牙海岸,Ivory Coast,69,77,1,CB,,,23,0,韋根,Wigan Athletic,,
Domingos Quina,Domingos Quina,葡萄牙,Portugal,69,84,3,CAM,CM,CDM,20,4,屈福特,Watford,,
Emanuel Sakic,Emanuel Sakic,奧地利,Austria,69,69,2,RB,RWB,,29,0,格拉茨,SK Sturm Graz,,
Riccardo Piscitelli,Riccardo Piscitelli,意大利,Italy,69,74,1,GK,,,26,0,布加勒斯特戴拿模,Fotbal Club Dinamo București,,
Emanuele Ndoj,Emanuele Ndoj,阿爾巴尼亞,Albania,69,74,1,CM,,,23,0,布雷西亞,Brescia,,
Alfonso Herrero,Alfonso Herrero,西班牙,Spain,69,74,1,GK,,,26,1,奧維多,R. Oviedo,,
Luca Mora,Luca Mora,意大利,Italy,69,69,1,CM,,,32,0,史柏斯亞,La Spezia,,
Michele Castagnetti,Michele Castagnetti,意大利,Italy,69,69,2,CM,CDM,,30,0,克雷莫拿,Cremona,,
Andrés Iniestra,Andrés Iniestra,墨西哥,Mexico,69,76,2,CM,CDM,,24,0,普馬斯,U.N.A.M.,,
Getterson,Getterson,巴西,Brazil,69,69,1,ST,,,29,0,馬里迪莫,Marítimo,,
Yuki Nogami,Yuki Nogami,日本,Japan,69,69,1,CB,,,29,0,廣島三箭,Sanfrecce Hiroshima,,
Omar Richards,Omar Richards,英格蘭,England,69,78,2,LB,LWB,,21,0,雷丁,Reading,,
Qazim Laçi,Qazim Laçi,阿爾巴尼亞,Albania,69,76,3,CM,CDM,CAM,24,0,阿些斯奧,Athlétic Club Ajaccio,,
Lazare Amani,Lazare Amani,象牙海岸,Ivory Coast,69,76,2,CM,CDM,,22,0,查內爾,Sporting Charleroi,,
Dante Vanzeir,Dante Vanzeir,比利時,Belgium,69,78,3,ST,RM,CAM,22,0,梅赫倫,KV Mechelen,亨克,On loan from: KRC Genk
Daniel Arzani,Daniel Arzani,澳洲,Australia,69,83,3,RM,CAM,LM,21,2,些路迪,Celtic,曼城,On loan from: Manchester City
Jacob Rasmussen,Jacob Rasmussen,丹麥,Denmark,69,80,3,CB,CDM,CM,23,0,奧厄,FC Erzgebirge Aue,費倫天拿,On loan from: Fiorentina
Martínez,Martínez,西班牙,Spain,69,72,1,CB,,,27,0,CF格蘭納達,Granada CF,伊巴,On loan from: SD Eibar
Caro,Caro,西班牙,Spain,69,74,1,GK,,,26,0,華拉度列,R. Valladolid CF,,
Ramón Folch,Ramón Folch,西班牙,Spain,69,69,2,CM,CDM,,30,0,艾爾切,Elche CF,,
Aleksandar Jovanović,Aleksandar Jovanović,塞爾維亞,Serbia,69,73,1,GK,,,27,0,拉科魯尼亞,RC Deportivo,侯爾斯卡,On loan from: SD Huesca
Jaílson,Jaílson,巴西,Brazil,69,77,2,CDM,CB,,24,1,費倫巴治,Fenerbahçe SK,,
Jannik Müller,Jannik Müller,德國,Germany,69,73,1,CB,,,26,0,特雷斯登,SG Dynamo Dresden,,
Cebio Soukou,Cebio Soukou,貝南,Benin,69,69,2,RW,ST,,27,0,比勒費爾德,DSC Arminia Bielefeld,,
Calogero Rizzuto,Calogero Rizzuto,德國,Germany,69,69,3,LWB,LM,RB,28,0,奧厄,FC Erzgebirge Aue,,
Ché Nunnely,Ché Nunnely,荷蘭,Netherlands,69,77,1,RW,,,21,0,威廉二世,Willem II,,
Fábio China,Fábio China,葡萄牙,Portugal,69,69,1,LB,,,27,0,馬里迪莫,Marítimo,,
Lluis López,Lluis López,西班牙,Spain,69,79,1,CB,,,23,0,特內里費,CD Tenerife,愛斯賓奴,On loan from: RCD Espanyol
Davide Eustáquio,Davide Eustáquio,巴西,Brazil,69,69,1,CAM,,,28,0,山度士,Santos,,
Sandeiro Leal,Sandeiro Leal,巴西,Brazil,69,69,1,CAM,,,20,0,福塔雷薩,Fortaleza,,
Caio Tafarell,Caio Tafarell,巴西,Brazil,69,69,1,CDM,,,28,0,戈亞斯,Goiás,,
Eray Cömert,Eray Cömert,瑞士,Switzerland,69,82,1,CB,,,22,0,巴素利 1893,FC Basel 1893,,
Fredrik Andre Bjørkan,Fredrik Andre Bjørkan,挪威,Norway,69,77,1,LB,,,21,0,波杜基林特,FK Bodø/Glimt,,
Yakou Meité,Yakou Meité,象牙海岸,Ivory Coast,69,75,2,ST,RM,,24,1,雷丁,Reading,,
Pomares,Pomares,西班牙,Spain,69,70,1,LB,,,27,0,艾高干,AD Alcorcón,,
Elgezabal,Elgezabal,西班牙,Spain,69,72,2,CB,CDM,,27,1,艾高干,AD Alcorcón,,
Barış Atik,Barış Atik,土耳其,Turkey,69,74,3,CAM,CF,LM,25,0,特雷斯登,SG Dynamo Dresden,,
Alin Toșca,Alin Toșca,羅馬尼亞,Romania,69,70,2,CB,LB,,28,0,加辛塔BB,Gazişehir Gaziantep Futbol Kulübü,,
Allan Campbell,Allan Campbell,蘇格蘭,Scotland,69,79,2,CM,CDM,,21,0,馬瑟韋爾,Motherwell,,
Blas Riveros,Blas Riveros,巴拉圭,Paraguay,69,80,1,LB,,,22,2,巴素利 1893,FC Basel 1893,,
Borja Galán,Borja Galán,西班牙,Spain,69,69,2,LM,RM,,27,0,桑坦德,Real Racing Club,拉科魯尼亞,On loan from: RC Deportivo
Sifiso Hlanti,Sifiso Hlanti,南非,South Africa,69,69,3,LB,LM,CB,30,0,自由身球員,Free Agents,,
Claud Adjapong,Claud Adjapong,意大利,Italy,69,79,3,LM,RM,RB,22,0,維羅納,Hellas Verona,薩斯索羅,On loan from: Sassuolo
Jakob Glesnes,Jakob Glesnes,挪威,Norway,69,74,1,CB,,,26,0,費城聯,Philadelphia Union,,
Ognjen Ožegović,Ognjen Ožegović,塞爾維亞,Serbia,69,72,3,ST,RW,LW,26,0,達斯泰特,SV Darmstadt 98,,
Cedric Itten,Cedric Itten,瑞士,Switzerland,69,78,2,ST,CAM,,23,0,聖加倫 1879,FC St. Gallen 1879,,
Naoyuki Fujita,Naoyuki Fujita,日本,Japan,69,69,2,CM,CDM,,33,0,大阪櫻花,Cerezo Osaka,,
Tsukasa Morishima,Tsukasa Morishima,日本,Japan,69,75,1,CF,,,23,0,廣島三箭,Sanfrecce Hiroshima,,
Hayao Kawabe,Hayao Kawabe,日本,Japan,69,73,3,CM,CF,RM,24,0,廣島三箭,Sanfrecce Hiroshima,,
Keita Endo,Keita Endo,日本,Japan,69,75,3,LM,LW,RM,22,1,橫濱水手,Yokohama F・Marinos,,
Santiago Colombatto,Santiago Colombatto,阿根廷,Argentina,69,75,2,CM,CDM,,23,0,聖圖爾登,Sint-Truidense VV,,
Yutaka Yoshida,Yutaka Yoshida,日本,Japan,69,69,3,LB,RB,LM,30,0,名古屋鯨魚,Nagoya Grampus,,
Daniel Sappa,Daniel Sappa,阿根廷,Argentina,69,74,1,GK,,,25,0,沙蘭迪兵工廠,Arsenal de Sarandí,學生隊,On loan from: Estudiantes de La Plata
Lautaro Comas,Lautaro Comas,阿根廷,Argentina,69,72,3,LM,RW,RM,25,1,帕托拿圖,Patronato,,
Sarpreet Singh,Sarpreet Singh,新西蘭,New Zealand,69,80,3,CAM,CDM,CF,21,1,拜仁慕尼黑二隊,FC Bayern München II,,
Oh Jae Suk,Oh Jae Suk,大韓民國,Korea Republic,69,69,2,LB,RB,,30,0,大阪飛腳,Gamba Osaka,,
Hiroaki Okuno,Hiroaki Okuno,日本,Japan,69,69,3,CF,ST,CM,30,0,大阪櫻花,Cerezo Osaka,,
Judson,Judson,巴西,Brazil,69,73,1,CDM,,,27,0,聖荷西地震,San Jose Earthquakes,,
Fahd Moufi,Fahd Moufi,摩洛哥,Morocco,69,76,1,RB,,,24,0,唐迪拉,CD Tondela,,
Lucas Fernandes,Lucas Fernandes,巴西,Brazil,69,70,1,RM,,,26,0,北海道札幌岡薩多,Hokkaido Consadole Sapporo,,
Farouk Miya,Farouk Miya,烏干達,Uganda,69,75,2,CAM,ST,,22,0,高耶,Konyaspor,,
Janni Serra,Janni Serra,德國,Germany,69,79,1,ST,,,22,0,基爾,Holstein Kiel,,
David Lemos,David Lemos,哥倫比亞,Colombia,69,75,2,ST,LM,,25,0,卡達斯,Once Caldas,,
Christopher Martins,Christopher Martins,盧森堡,Luxembourg,69,80,2,CDM,CM,,23,0,年青人,BSC Young Boys,,
Dániel Sallói,Dániel Sallói,匈牙利,Hungary,69,76,2,LW,ST,,23,0,肯薩斯體育會,Sporting Kansas City,,
Giorgi Aburjania,Giorgi Aburjania,格魯吉亞,Georgia,69,74,2,CM,CDM,,25,0,川迪,FC Twente,西維爾,On loan from: Sevilla FC
Lee Seung Woo,Lee Seung Woo,大韓民國,Korea Republic,69,75,3,CAM,LW,RW,22,0,聖圖爾登,Sint-Truidense VV,,
Alex Muyl,Alex Muyl,美國,United States,69,75,2,RM,LM,,24,1,紐約紅牛,New York Red Bulls,,
Jannes Horn,Jannes Horn,德國,Germany,69,77,2,LB,CB,,23,1,漢諾威,Hannover 96,科隆,On loan from: 1. FC Köln
Quentin Boisgard,Quentin Boisgard,法國,France,69,77,3,CAM,CM,LM,23,0,圖盧茲,Toulouse Football Club,,
Andrei Ivan,Andrei Ivan,羅馬尼亞,Romania,69,75,3,ST,LW,RW,23,0,CS 卡拉奧華大學,U Craiova 1948 Club Sportiv,,
Daniel Cataño,Daniel Cataño,哥倫比亞,Colombia,69,69,1,CAM,,,28,0,杜利馬,Deportes Tolima,,
Rafa Mir,Rafa Mir,西班牙,Spain,69,76,1,ST,,,23,0,侯爾斯卡,SD Huesca,狼隊,On loan from: Wolverhampton Wanderers
Fabian Schleusener,Fabian Schleusener,德國,Germany,69,69,3,ST,LM,RM,28,0,紐倫堡,1. FC Nürnberg,,
Filippo Bandinelli,Filippo Bandinelli,意大利,Italy,69,74,1,CM,,,25,0,安玻里,Empoli,,
Michael Verrips,Michael Verrips,荷蘭,Netherlands,69,76,1,GK,,,23,0,錫菲聯,Sheffield United,,
Hildeberto Pereira,Hildeberto Pereira,維德角共和國,Cape Verde,69,74,3,LW,RW,ST,24,0,塞圖巴爾,Vitória Setúbal,,
Moussa Koné,Moussa Koné,塞內加爾,Senegal,69,76,3,ST,RW,LW,23,0,尼姆,Nîmes Olympique,,
Brayan Garnica,Brayan Garnica,墨西哥,Mexico,69,75,1,RM,,,24,1,拿根亞,Santos Laguna,,
Patrick Erras,Patrick Erras,德國,Germany,69,74,3,CDM,CB,CM,25,0,紐倫堡,1. FC Nürnberg,,
Juan Diego Rojas,Juan Diego Rojas,厄瓜多爾,Ecuador,69,69,2,RW,LW,,27,0,SC 迪爾芬,Delfín Sporting Club,,
Trevoh Chalobah,Trevoh Chalobah,英格蘭,England,69,82,2,CDM,CM,,20,0,哈德斯菲爾德,Huddersfield Town,,
Paolo Ghiglione,Paolo Ghiglione,意大利,Italy,69,78,2,RM,RB,,23,0,熱拿亞,Genoa,,
Jaime Carreño,Jaime Carreño,智利,Chile,69,77,2,CM,CDM,,23,0,奧利恩特,Club Deportivo Oriente Petrolero,,
Melvin Regalito,Melvin Regalito,巴西,Brazil,69,69,3,CAM,LM,CM,28,0,帕拉尼恩斯,Club Athletico Paranaense,,
Roldão Riso,Roldão Riso,巴西,Brazil,69,69,2,CDM,CB,,28,0,甘美奧,Grêmio,,
Weilson Leal,Weilson Leal,巴西,Brazil,69,69,2,LM,CAM,,32,0,華斯高,Vasco da Gama,,
Emidio Hoffman,Emidio Hoffman,巴西,Brazil,69,69,2,CB,RB,,24,0,明尼路,Atlético Mineiro,,
